"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.584691310E-1,8.527851105E-2,3.309072256E-1,3.398098946E-1,4.819157404E-1
9.633181410E-1,5.771923065E-2,3.841853142E-1,4.353561401E-1,5.834936452E-1
9.681671520E-1,5.850791931E-2,4.058231115E-1,4.704313278E-1,6.240362238E-1
9.730161620E-1,6.832981110E-2,4.007238150E-1,4.617862701E-1,6.152195529E-1
9.778652240E-1,8.951663971E-2,4.046622515E-1,4.406065941E-1,6.048958070E-1
9.827142350E-1,1.031179428E-1,3.937014341E-1,3.881878853E-1,5.624268518E-1
9.875632450E-1,9.254646301E-2,3.941493034E-1,3.142642975E-1,5.125237262E-1
9.924122560E-1,9.360504150E-2,4.274094105E-1,2.093496323E-1,4.850443036E-1
9.972612660E-1,9.679889679E-2,4.244871140E-1,9.749031067E-2,4.461655489E-1
1.002110329E0,1.402635574E-1,4.453749657E-1,-9.382724762E-3,4.670340042E-1
1.006959339E0,1.667566299E-1,4.376728535E-1,-1.349644661E-1,4.874225143E-1
1.011808349E0,1.860227585E-1,4.302347898E-1,-2.146844864E-1,5.155539446E-1
1.016657360E0,2.005977631E-1,4.040770531E-1,-2.985863686E-1,5.409912632E-1
1.021506370E0,1.914901733E-1,3.997371197E-1,-3.437166214E-1,5.608915824E-1
1.026355433E0,1.819334030E-1,3.680940866E-1,-3.727664948E-1,5.545699950E-1
1.031204443E0,1.630535126E-1,3.653320074E-1,-3.658623695E-1,5.421339291E-1
1.036053454E0,1.727609634E-1,3.389937878E-1,-3.401384354E-1,5.103501679E-1
1.040902464E0,1.774959564E-1,3.130322695E-1,-2.793178558E-1,4.555353783E-1
1.045751527E0,1.843862534E-1,2.612454891E-1,-2.264328003E-1,3.918154018E-1
1.050600537E0,1.128559113E-1,2.335596085E-1,-1.788077354E-1,3.150535727E-1
1.055449547E0,3.477001190E-2,2.887539864E-1,-6.981992722E-2,2.991030602E-1
1.060298558E0,2.282142639E-3,3.121572733E-1,-2.172946930E-3,3.121731781E-1
1.065147568E0,7.730484009E-3,3.254246712E-1,7.578849792E-3,3.256046928E-1
1.069996631E0,2.232837677E-2,3.263907433E-1,-2.349567413E-2,3.279962201E-1
1.074845641E0,1.285076141E-2,3.010821342E-1,-4.752349854E-2,3.050804427E-1
1.079694652E0,3.187084198E-2,2.665038109E-1,-9.516620636E-2,2.847747155E-1
1.084543662E0,3.895950317E-2,2.418437004E-1,-1.351642609E-1,2.797777613E-1
1.089392724E0,2.707481384E-2,2.247283459E-1,-1.628952026E-1,2.788740254E-1
1.094241735E0,4.149627686E-2,2.294545174E-1,-2.069044113E-1,3.117382748E-1
1.099090745E0,8.430957794E-2,2.393425703E-1,-2.458453178E-1,3.533169840E-1
1.103939756E0,9.840297699E-2,2.756907940E-1,-2.321748734E-1,3.736224452E-1
1.108788818E0,1.171779633E-1,2.717063427E-1,-2.185926437E-1,3.678828015E-1
1.113637829E0,1.168804169E-1,3.059617281E-1,-2.050619125E-1,3.864246354E-1
1.118486839E0,8.109855652E-2,3.020250797E-1,-1.843485832E-1,3.630158740E-1
1.123335849E0,5.512428284E-2,2.649021149E-1,-1.946120262E-1,3.332951511E-1
1.128184860E0,5.782985687E-2,2.517606020E-1,-1.786789894E-1,3.140921430E-1
1.133033922E0,6.050682068E-2,1.959698200E-1,-1.699843407E-1,2.663830358E-1
1.137882933E0,8.693504333E-2,1.358565092E-1,-1.541442871E-1,2.231034605E-1
1.142731943E0,9.896469116E-2,1.116929054E-1,-1.311683655E-1,1.986817941E-1
1.147580954E0,5.867385864E-2,1.016418934E-1,-8.696269989E-2,1.460691869E-1
1.152430016E0,2.331542969E-2,1.433953047E-1,1.370573044E-2,1.459235064E-1
1.157279027E0,5.676460266E-2,1.297867298E-1,7.044172287E-2,1.582050937E-1
1.162128037E0,6.083106995E-2,1.135010719E-1,1.115336418E-1,1.703603993E-1
1.166977047E0,4.039096832E-2,7.567203045E-2,9.894084930E-2,1.309464706E-1
1.171826110E0,1.960659027E-2,-6.663799286E-5,5.957746506E-2,6.272078735E-2
1.176675120E0,2.311134338E-2,-8.700311184E-2,-2.863216400E-2,9.446415446E-2
1.181524131E0,5.696868896E-2,-3.079097271E-1,-5.354471207E-1,6.202881996E-1
1.186373141E0,1.256179810E-1,-3.292310238E-1,-7.646389008E-1,8.419296839E-1
1.191222152E0,2.177867889E-1,-1.482025385E-1,-3.626055717E-1,4.481940188E-1
1.196071214E0,3.630390167E-1,1.957297325E-2,1.297764778E-1,3.860341476E-1
1.200920224E0,4.252152443E-1,1.834006310E-1,6.042819023E-1,7.613149236E-1
1.205769235E0,4.434790611E-1,2.175823450E-1,6.822333336E-1,8.422933432E-1
1.210618297E0,4.165740013E-1,1.139422655E-1,2.874441147E-1,5.187878733E-1
1.215467308E0,3.994450569E-1,-1.708805561E-2,3.363704681E-2,4.012228883E-1
1.220316318E0,3.468670845E-1,-1.349363923E-1,-1.207971573E-1,3.913011085E-1
1.225165329E0,3.515009880E-1,-1.495650411E-1,3.369331360E-3,3.820130868E-1
1.230014339E0,4.462022781E-1,-8.784461021E-2,1.595783234E-1,4.819526842E-1
1.234863402E0,5.331535339E-1,-2.383613586E-2,2.458577156E-1,5.875941358E-1
1.239712412E0,4.700274467E-1,4.487252235E-2,2.508883476E-1,5.346815005E-1
1.244561422E0,4.567904472E-1,7.549512386E-2,3.119969368E-1,5.583002015E-1
1.249410433E0,4.306535721E-1,6.362724304E-2,4.608416557E-1,6.339447585E-1
1.254259495E0,4.222421646E-1,2.372777462E-2,5.229859352E-1,6.725814012E-1
1.259108506E0,4.235515594E-1,-4.653203487E-2,7.210884094E-1,8.375736672E-1
1.263957516E0,3.988170624E-1,-1.090300679E-1,7.929224968E-1,8.942419644E-1
1.268806527E0,3.723640442E-1,-1.449275017E-1,6.809020042E-1,7.894849597E-1
1.273655589E0,3.541541100E-1,-1.496853828E-1,5.296988487E-1,6.545316782E-1
1.278504599E0,3.516902924E-1,-1.354659200E-1,3.498787880E-1,5.142492037E-1
1.283353610E0,4.173107147E-1,-1.214059591E-1,2.465219498E-1,4.996605961E-1
1.288202620E0,5.529985428E-1,-9.556865692E-2,2.002873421E-1,5.958655687E-1
1.293051683E0,6.493659019E-1,-6.519675255E-2,2.065052986E-1,6.845225559E-1
1.297900693E0,7.047438622E-1,-6.603598595E-2,1.775393486E-1,7.297567286E-1
1.302749704E0,6.865468025E-1,-5.507147312E-2,9.986972809E-2,6.959549855E-1
1.307598714E0,6.027498245E-1,-4.907888174E-2,7.475376129E-3,6.047908472E-1
1.312447777E0,4.897456169E-1,-5.038410425E-2,-8.730983734E-2,5.000123348E-1
1.317296787E0,3.549761772E-1,-4.246783257E-2,-1.392693520E-1,3.836763683E-1
1.322145797E0,1.988353729E-1,-5.638104677E-2,-1.769366264E-1,2.720678183E-1
1.326994860E0,7.846355438E-2,-1.619797945E-2,-2.027854919E-1,2.180386655E-1
1.331843870E0,-3.960609436E-2,8.699059486E-3,-2.358293533E-1,2.392902009E-1
1.336692881E0,-1.196556091E-1,8.235007524E-2,-2.473287582E-1,2.868283709E-1
1.341541891E0,-1.524906158E-1,1.331428885E-1,-2.611842155E-1,3.304506183E-1
1.346390902E0,-1.977624893E-1,1.944693923E-1,-2.962765694E-1,4.058425215E-1
1.351239964E0,-2.505521774E-1,2.187690735E-1,-3.262357712E-1,4.659035088E-1
1.356088974E0,-2.941589355E-1,2.538639903E-1,-3.534531593E-1,5.252671137E-1
1.360937985E0,-3.122177124E-1,3.092349768E-1,-3.449892998E-1,5.586803986E-1
1.365787047E0,-3.264465332E-1,3.255638480E-1,-3.607020378E-1,5.853760486E-1
1.370636058E0,-3.085918427E-1,3.485104442E-1,-3.318839073E-1,5.716951836E-1
1.375485068E0,-2.685403824E-1,3.568630219E-1,-3.160605431E-1,5.471374784E-1
1.380334079E0,-2.327232361E-1,3.841144443E-1,-2.753877640E-1,5.268229603E-1
1.385183141E0,-2.463111877E-1,3.636972308E-1,-2.197389603E-1,4.911517969E-1
1.390032152E0,-2.260532379E-1,3.672955036E-1,-1.590466499E-1,4.596758534E-1
1.394881162E0,-1.914367676E-1,3.567784429E-1,-6.758451462E-2,4.104955053E-1
1.399730172E0,-1.262111664E-1,3.156965971E-1,2.081584930E-2,3.406272149E-1
1.404579235E0,-8.535861969E-2,2.775682211E-1,8.933401108E-2,3.038268863E-1
1.409428245E0,-3.802585602E-2,2.613793612E-1,1.615648270E-1,3.096261124E-1
1.414277256E0,1.089382172E-2,2.196613550E-1,2.254395485E-1,3.149488471E-1
1.419126318E0,2.810573578E-2,1.574580073E-1,2.738037109E-1,3.170984525E-1
1.423975329E0,7.566165924E-2,1.011197567E-1,2.974157333E-1,3.231191890E-1
1.428824339E0,9.882402420E-2,2.212250233E-2,3.464469910E-1,3.609447470E-1
1.433673349E0,5.749034882E-2,-3.476083279E-3,4.088797569E-1,4.129163099E-1
1.438522412E0,1.870918274E-2,-3.565704823E-2,4.610157013E-1,4.627709319E-1
1.443371422E0,-1.055622101E-2,-3.405761719E-2,5.217247009E-1,5.229416972E-1
1.448220433E0,9.915351868E-3,-3.455138206E-2,5.576572418E-1,5.588145592E-1
1.453069495E0,1.800823212E-2,-3.474658728E-2,6.069769859E-1,6.082373576E-1
1.457918506E0,-2.697944641E-3,-4.181879759E-2,6.293721199E-1,6.307656903E-1
