"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.054085000E0,4.725365349E0,-9.010651706E0,-1.266106961E0,1.025299706E1
2.064039000E0,3.833916977E0,-6.879242783E0,-1.235686237E0,7.971814168E0
2.073993000E0,2.504598107E0,-3.942788624E0,-7.809166273E-1,4.735865770E0
2.083947000E0,1.704090895E0,-7.366439223E-2,-6.152579912E-1,1.813255254E0
2.093901000E0,1.300840006E0,3.742365952E0,-5.850514213E-1,4.004968515E0
2.103855000E0,8.726817334E-1,6.515596256E0,-4.886703770E-1,6.591916771E0
2.113809000E0,2.023563462E-1,8.362724664E0,4.322729588E-2,8.365284244E0
2.123763000E0,-9.067382562E-1,9.435505133E0,9.511818460E-1,9.526577470E0
2.133718000E0,-2.002039862E0,9.764788159E0,1.935819998E0,1.015414450E1
2.143672000E0,-2.985353254E0,9.644148991E0,2.605002401E0,1.042631197E1
2.153626000E0,-3.971344671E0,9.204940649E0,2.668948721E0,1.037428543E1
2.163580000E0,-5.153387382E0,8.585266183E0,2.187949891E0,1.024945470E1
2.173534000E0,-6.245748423E0,8.054454192E0,1.353338063E0,1.028178630E1
2.183488000E0,-7.192920760E0,7.476663331E0,4.155616164E-1,1.038322181E1
2.193442000E0,-7.883645328E0,6.934898921E0,-3.198472278E-1,1.050461751E1
2.203396000E0,-8.293398905E0,6.609448745E0,-7.055621704E-1,1.062840986E1
2.213350000E0,-8.184541292E0,6.581041217E0,-5.996859057E-1,1.051933662E1
2.223304000E0,-7.884828220E0,6.706661628E0,-1.131145330E-1,1.035193804E1
2.233258000E0,-7.192768148E0,6.980782607E0,6.712030542E-1,1.004578284E1
2.243212000E0,-6.526321803E0,7.156431211E0,1.346737726E0,9.778603502E0
2.253166000E0,-6.014252477E0,7.200601662E0,1.767208518E0,9.546880281E0
2.263120000E0,-5.605962458E0,7.372303981E0,1.894034772E0,9.453308880E0
2.273074000E0,-5.290090021E0,7.518101964E0,1.769354739E0,9.361491642E0
2.283028000E0,-4.910172447E0,7.722510683E0,1.549548693E0,9.281598238E0
2.292982000E0,-4.555629449E0,7.888912500E0,1.271775398E0,9.198158119E0
2.302936000E0,-4.256803401E0,8.030545512E0,1.056933346E0,9.150253795E0
2.312890000E0,-4.021968695E0,8.350525033E0,8.377003272E-1,9.306408671E0
2.322844000E0,-3.873182784E0,8.767838475E0,6.280976728E-1,9.605781753E0
2.332798000E0,-3.739272190E0,8.996752290E0,3.245907815E-1,9.748285360E0
2.342752000E0,-3.760375376E0,8.962206355E0,-9.437859222E-2,9.719592226E0
2.352706000E0,-3.797436783E0,8.856897417E0,-3.940767534E-1,9.644711217E0
2.362660000E0,-3.796645070E0,8.718497915E0,-4.756359100E-1,9.521184233E0
2.372614000E0,-3.847298915E0,8.410238553E0,-7.337320089E-1,9.277509586E0
2.382569000E0,-3.688038887E0,7.610479785E0,-1.035139604E0,8.520126020E0
2.392523000E0,-3.217244471E0,5.995069517E0,-1.288572109E0,6.924733828E0
2.402477000E0,-2.921564809E0,3.690009983E0,-1.322518266E0,4.888841292E0
2.412431000E0,-2.646232873E0,9.143226796E-1,-1.154013498E0,3.028247271E0
2.422385000E0,-1.614255443E0,-1.665651884E0,-9.818539274E-1,2.518780254E0
2.432339000E0,-5.619642019E-2,-4.291411316E0,-7.912367436E-1,4.364106404E0
2.442293000E0,1.275927944E0,-6.285472652E0,-1.938549332E-1,6.416598656E0
2.452247000E0,3.424253447E0,-7.785622020E0,4.357777798E-1,8.516532404E0
2.462201000E0,5.792616692E0,-9.107173449E0,6.368939316E-1,1.081206041E1
2.472155000E0,8.325291374E0,-1.088160986E1,3.726643959E-1,1.370615877E1
2.482109000E0,1.127485382E1,-1.350035321E1,-3.820861606E-1,1.759340375E1
2.492063000E0,1.296100370E1,-1.591529772E1,-1.577212747E0,2.058572123E1
2.502017000E0,1.321741113E1,-1.799943132E1,-2.589862790E0,2.248081124E1
2.511971000E0,1.258088323E1,-2.018586079E1,-2.725672560E0,2.394111295E1
