"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.115736042E0,-4.705114102E-1,1.932932205E0,9.174586145E-1,2.190739191E0
2.125690042E0,-9.305843711E-4,2.816162315E0,6.593296250E-1,2.892315094E0
2.135643042E0,7.080261871E-1,3.309736313E0,3.762098551E-2,3.384829521E0
2.145597042E0,1.333792283E0,3.448049276E0,-6.845616762E-1,3.759876374E0
2.155550042E0,1.700256583E0,3.127330082E0,-1.503191675E0,3.864020070E0
2.165504042E0,1.538308590E0,2.407912057E0,-2.125160004E0,3.561002504E0
2.175457042E0,8.366731176E-1,1.598996549E0,-2.379123145E0,2.986141123E0
2.185411042E0,1.049516737E-2,7.736375016E-1,-2.291810182E0,2.418887976E0
2.195365042E0,-3.219351223E-1,-2.251528859E-2,-1.863487748E0,1.891225991E0
2.205318042E0,-5.054786369E-1,-6.659621948E-1,-1.185097223E0,1.450334350E0
2.215272042E0,-7.407802427E-1,-1.024547372E0,-2.099805307E-1,1.281617927E0
2.225225042E0,-1.216002170E0,-1.102801244E0,6.895071781E-1,1.780520152E0
2.235179042E0,-1.399133748E0,-9.366584587E-1,1.501692595E0,2.256099502E0
2.245132042E0,-1.490031054E0,-4.855159503E-1,2.174387712E0,2.680276143E0
2.255086042E0,-1.386626261E0,1.215636134E-1,2.692088492E0,3.030651836E0
2.265040042E0,-1.120456327E0,7.497586423E-1,2.995474784E0,3.284878930E0
2.274993042E0,-8.453249502E-1,1.272062935E0,2.930707515E0,3.304809362E0
2.284947042E0,-7.494779760E-1,1.645594765E0,2.472948883E0,3.063523387E0
2.294900042E0,-8.649914753E-1,1.910274829E0,1.741374496E0,2.725755915E0
2.304854042E0,-9.570915538E-1,2.035913367E0,8.970155060E-1,2.421900968E0
2.314807042E0,-1.073733566E0,1.948658291E0,1.147201784E-1,2.227854040E0
2.324761292E0,-1.149220535E0,1.883637838E0,-5.248039770E-1,2.268086982E0
2.334715292E0,-1.132823773E0,2.039896490E0,-1.045569867E0,2.556889465E0
2.344668292E0,-1.016705087E0,2.178567302E0,-1.356504915E0,2.760425748E0
2.354622292E0,-8.341959447E-1,2.208623160E0,-1.399735719E0,2.744660128E0
2.364575292E0,-6.820665962E-1,2.287757038E0,-1.147865735E0,2.648894647E0
2.374529292E0,-4.008868593E-1,2.323739049E0,-7.332186234E-1,2.469429689E0
2.384482292E0,-1.672520024E-1,2.230249672E0,-4.022649749E-1,2.272400480E0
2.394436292E0,-4.146962285E-2,1.927723505E0,-2.055039755E-1,1.939089870E0
2.404390292E0,-8.085997581E-2,1.592502632E0,-7.499412216E-2,1.596316725E0
2.414343292E0,-7.385618091E-2,1.253037849E0,-1.279182943E-1,1.261713786E0
2.424297292E0,-3.665151715E-2,9.271877235E-1,-3.642474751E-1,9.968433335E-1
2.434250292E0,-5.958780527E-2,6.080993181E-1,-7.670377493E-1,9.806540655E-1
2.444204292E0,7.288320422E-2,2.757523513E-1,-1.189059370E0,1.222789232E0
2.454157292E0,3.398641473E-1,2.597800970E-2,-1.518977988E0,1.556751946E0
2.464111292E0,4.026351768E-1,-6.225588977E-2,-1.661602103E0,1.710822150E0
2.474065292E0,5.805027992E-1,4.837869287E-2,-1.539792906E0,1.646294685E0
2.484018292E0,8.379545349E-1,1.804450750E-1,-1.215616254E0,1.487431042E0
2.493972292E0,1.255891875E0,7.711717308E-2,-1.011454872E0,1.614389178E0
2.503925292E0,1.654174384E0,-2.230011106E-1,-8.484882939E-1,1.872419497E0
2.513879292E0,1.826760217E0,-6.126426047E-1,-9.504029969E-1,2.148406318E0
2.523832292E0,1.982131847E0,-9.402773005E-1,-1.140995257E0,2.472819895E0
2.533786292E0,1.953747123E0,-1.211567057E0,-1.396520920E0,2.689850039E0
2.543740292E0,1.777904976E0,-1.375941644E0,-1.717207954E0,2.828951161E0
2.553693292E0,1.719217642E0,-1.409221657E0,-2.018919604E0,3.002940450E0
2.563647292E0,1.778212540E0,-1.319199679E0,-2.220864891E0,3.136011558E0
2.573600292E0,1.974354465E0,-1.229737279E0,-2.282569388E0,3.258903549E0
2.583554292E0,1.996378587E0,-1.221467562E0,-2.148251828E0,3.176868960E0
2.593507292E0,1.806430033E0,-1.187100552E0,-1.841240262E0,2.839465247E0
2.603461292E0,1.794433885E0,-1.251435712E0,-1.466041975E0,2.633507809E0
2.613415292E0,2.009798532E0,-1.561205994E0,-1.260098362E0,2.839806715E0
2.623368292E0,1.977510207E0,-2.022534353E0,-1.031455858E0,3.010829290E0
2.633322292E0,1.481182755E0,-2.380566384E0,-6.979412019E-1,2.889311437E0
2.643275292E0,8.338877964E-1,-2.610888208E0,-2.336336692E-1,2.750761855E0
2.653229292E0,-3.600130677E-3,-2.347927811E0,2.249435739E-1,2.358681321E0
2.663182292E0,-7.006092864E-1,-1.810365794E0,5.526250656E-1,2.018334002E0
2.673136292E0,-1.085399346E0,-1.151338397E0,6.834845459E-1,1.723607545E0
2.683090292E0,-1.287702482E0,-4.192482859E-1,6.475346947E-1,1.501082273E0
2.693043292E0,-1.321283042E0,1.404273158E-1,4.768252337E-1,1.411690834E0
2.702997292E0,-1.386264904E0,3.824570203E-1,3.072571492E-1,1.470513757E0
2.712950292E0,-1.570462137E0,5.061355716E-1,1.701738560E-1,1.658759682E0
2.722904292E0,-1.817613418E0,6.610704142E-1,-4.786998510E-2,1.934689681E0
2.732857292E0,-1.933432726E0,7.039743590E-1,-4.490778565E-1,2.106042005E0
2.742811292E0,-1.889276893E0,7.265767711E-1,-7.725376403E-1,2.166586113E0
2.752764292E0,-1.922339973E0,8.700317752E-1,-1.006919771E0,2.337997795E0
2.762718292E0,-1.860685762E0,8.691646332E-1,-1.212426597E0,2.384864130E0
2.772672292E0,-1.813701630E0,7.986115444E-1,-1.098873085E0,2.266013252E0
2.782625292E0,-1.752400006E0,6.760275918E-1,-6.822355807E-1,1.998340430E0
2.792579292E0,-1.687953749E0,5.938923383E-1,-8.034308195E-2,1.791187031E0
2.802532292E0,-1.711995746E0,4.837524301E-1,5.228381431E-1,1.854266856E0
