"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.331741958E0,5.891309506E-1,-3.055246923E-1,1.307526882E0,1.466303912E0
1.341768958E0,6.295012969E-1,-5.037731503E-1,1.427125831E0,1.639130077E0
1.351795958E0,6.982698154E-1,-6.647115485E-1,1.580825157E0,1.851602105E0
1.361821958E0,7.277124466E-1,-5.507705116E-1,1.787672165E0,2.007158522E0
1.371848958E0,9.509978780E-1,-5.719600171E-1,1.728779009E0,2.054315479E0
1.381875958E0,1.197195624E0,-6.755163990E-1,1.502602860E0,2.036520347E0
1.391901958E0,1.287187635E0,-6.659847797E-1,1.140806977E0,1.844404590E0
1.401928958E0,1.295975415E0,-7.380133402E-1,3.562457067E-1,1.533338505E0
1.411955958E0,1.107261208E0,-6.949651153E-1,-2.330144674E-1,1.327892931E0
1.421981958E0,8.080835221E-1,-3.085200747E-1,-8.448255980E-1,1.209096318E0
1.432008958E0,5.590065341E-1,-3.643326983E-3,-1.044914979E0,1.185052274E0
1.442035958E0,3.634605130E-1,7.078295745E-2,-1.158850899E0,1.216572718E0
1.452061958E0,4.935352604E-1,3.731488377E-2,-1.243097582E0,1.338006373E0
1.462088958E0,6.973050249E-1,-1.811704221E-1,-1.171878496E0,1.375629394E0
1.472115958E0,6.900392016E-1,-6.606590626E-1,-8.940123761E-1,1.308389325E0
1.482141958E0,5.914816044E-1,-9.335964181E-1,-5.927275729E-1,1.254104755E0
1.492168958E0,4.947495078E-1,-1.016406952E0,-1.455564934E-1,1.139757369E0
1.502195958E0,4.400667856E-1,-1.313437833E0,1.506494182E-1,1.393367490E0
1.512221958E0,4.783775233E-1,-1.551587909E0,3.140434277E-1,1.653751302E0
1.522248958E0,3.934358986E-1,-1.403686390E0,4.766129798E-1,1.533716799E0
1.532275958E0,1.544278890E-1,-9.622357880E-1,5.381303662E-1,1.113251982E0
1.542301958E0,-1.731576171E-1,-6.103763336E-1,5.043089014E-1,8.104753525E-1
1.552328958E0,-2.942030941E-1,-3.373574460E-1,1.334200126E-1,4.670828692E-1
1.562355958E0,-1.963334218E-1,4.279906042E-3,-3.525830108E-1,4.035838322E-1
1.572381958E0,-8.315924719E-2,3.005946124E-1,-9.042122591E-1,9.564896188E-1
1.582408958E0,5.370155945E-2,5.629067000E-1,-1.436842734E0,1.544106490E0
1.592435958E0,1.488109805E-1,8.092624670E-1,-1.787698478E0,1.967972636E0
1.602461958E0,1.833305298E-1,8.306912698E-1,-2.030276651E0,2.201290837E0
1.612488958E0,1.803946793E-1,7.473462273E-1,-2.255690323E0,2.383108779E0
1.622515958E0,1.835338667E-1,6.516700649E-1,-2.266279630E0,2.365244578E0
1.632541958E0,1.665853467E-1,5.562894791E-1,-2.113664963E0,2.191982718E0
1.642568958E0,1.026898246E-1,4.331364463E-1,-1.832791620E0,1.886074628E0
1.652595958E0,9.773701362E-2,3.270089706E-1,-1.570716491E0,1.607369803E0
1.662621958E0,1.168560932E-1,2.692162971E-1,-1.505230014E0,1.533574308E0
1.672648958E0,1.018525764E-1,1.895855156E-1,-1.438608009E0,1.454616657E0
1.682675958E0,-6.095576137E-3,1.568935136E-1,-1.383537177E0,1.392417988E0
1.692701958E0,-1.258254296E-1,2.561588798E-1,-1.183239051E0,1.217170515E0
1.702728958E0,-2.384069889E-1,4.234684407E-1,-8.930838382E-1,1.016740948E0
1.712755958E0,-2.023827318E-1,4.525702523E-1,-5.888526231E-1,7.697571144E-1
