"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.008631833E0,1.079145281E1,5.257643822E0,-3.788505161E0,1.258773386E1
2.018658833E0,1.110159614E1,3.702769777E0,-3.598519769E0,1.224358140E1
2.028685833E0,1.121565427E1,2.564290870E0,-3.306958886E0,1.197090078E1
2.038711833E0,1.099462016E1,1.686179119E0,-3.010638369E0,1.152340297E1
2.048738833E0,1.062493580E1,1.294549426E0,-3.189753202E0,1.116869037E1
2.058765833E0,1.013417431E1,1.483318743E0,-3.838498271E0,1.093781479E1
2.068791833E0,9.319522102E0,1.788215956E0,-4.740095070E0,1.060753081E1
2.078818833E0,8.378508638E0,1.935841925E0,-5.922232506E0,1.044125130E1
2.088845833E0,7.633834149E0,2.196357602E0,-6.997864078E0,1.058628888E1
2.098871833E0,6.975364577E0,2.776662619E0,-7.812012843E0,1.083481015E1
2.108898833E0,6.533573520E0,3.299234714E0,-8.239853613E0,1.102123950E1
2.118924833E0,6.167458298E0,3.641892661E0,-8.193222653E0,1.088254664E1
2.128951833E0,6.058517069E0,4.129978462E0,-7.830868360E0,1.072776074E1
2.138978833E0,6.668854117E0,4.582005655E0,-7.575414618E0,1.108401090E1
2.149004833E0,7.328456295E0,4.517779838E0,-7.177257239E0,1.120846233E1
2.159031833E0,7.636515682E0,4.119706074E0,-6.756396875E0,1.099714730E1
2.169058833E0,7.538590608E0,3.541457961E0,-6.309415246E0,1.044897093E1
2.179084833E0,7.388735241E0,2.959582821E0,-5.879034446E0,9.895230414E0
2.189111833E0,7.508355825E0,2.624283302E0,-5.698268359E0,9.784300299E0
2.199138833E0,7.623968727E0,2.348326006E0,-5.819639599E0,9.874600713E0
2.209164833E0,7.439529419E0,1.867347641E0,-6.265264674E0,9.903894518E0
2.219191833E0,6.858357114E0,1.570522071E0,-6.754915191E0,9.753588115E0
2.229218833E0,6.121810840E0,1.647094868E0,-6.838779466E0,9.325148473E0
2.239244833E0,5.570065232E0,1.630352097E0,-6.457354479E0,8.682229064E0
2.249271833E0,5.012485272E0,1.419128741E0,-5.609939150E0,7.655739824E0
2.259298833E0,4.304690343E0,1.107371720E0,-4.511024550E0,6.332927724E0
2.269324833E0,3.416514072E0,1.096304695E0,-2.681496845E0,4.479383632E0
2.279351833E0,2.511567403E0,1.652207966E0,-7.074177843E-1,3.088397951E0
2.289377833E0,5.126207185E-1,1.501991242E0,1.588853969E0,2.245710272E0
2.299404833E0,-3.162709830E0,-2.604349852E-1,3.996596457E0,5.103267883E0
2.309431833E0,-7.477149235E0,-2.704506809E0,6.224410763E0,1.009779219E1
2.319457500E0,-1.205555300E1,-5.118861912E0,8.081632050E0,1.538999292E1
